step, cross_entropy, loss, train_accuracy
1,2.62952,2.8416,0.0546875
101,1.62296,1.83496,0.257813
201,0.937854,1.15898,0.411458
301,0.594849,0.820294,0.505859
401,0.410213,0.636491,0.576563
471,0.55133,0.77737,0.796875
571,0.343634,0.569303,0.851563
671,0.379971,0.60458,0.867188
771,0.3618,0.584974,0.869141
871,0.207877,0.429941,0.885938
941,0.418727,0.639824,0.898438
1041,0.282853,0.50277,0.894531
1141,0.259747,0.478076,0.901042
1241,0.26445,0.482008,0.910156
1341,0.125682,0.34268,0.920313
1411,0.316455,0.532687,0.921875
1511,0.185027,0.400832,0.933594
1611,0.196682,0.411848,0.9375
1711,0.212997,0.427595,0.935547
1811,0.149064,0.363489,0.9375
1881,0.27305,0.487368,0.929688
1981,0.161794,0.375764,0.941406
2081,0.248892,0.462369,0.9375
2181,0.122801,0.335423,0.945313
2281,0.1136,0.32668,0.946875
2351,0.143608,0.356578,0.96875
2451,0.141943,0.355086,0.957031
2551,0.201914,0.414693,0.947917
2651,0.109415,0.32152,0.955078
2751,0.106438,0.319184,0.954687
2821,0.177955,0.390184,0.953125
2921,0.0777482,0.289501,0.96875
3021,0.0884518,0.299884,0.96875
3121,0.201974,0.413264,0.958984
3221,0.0744863,0.285391,0.9625
3291,0.189901,0.400989,0.9375
3391,0.0558224,0.266807,0.964844
3491,0.0621763,0.272638,0.96875
3591,0.123578,0.333255,0.964844
3691,0.0879063,0.298765,0.965625
3761,0.0998541,0.310152,0.960938
3861,0.133655,0.343359,0.957031
3961,0.144945,0.354745,0.958333
4061,0.0285043,0.238189,0.966797
4161,0.0908162,0.30043,0.96875
4231,0.092329,0.301293,0.96875
4331,0.089998,0.299014,0.96875
4431,0.117653,0.326645,0.966146
4531,0.0751622,0.282679,0.96875
4631,0.0847141,0.292576,0.967188
4701,0.127797,0.335136,0.9375
4801,0.0143571,0.22104,0.96875
4901,0.04027,0.246225,0.973958
5001,0.0160389,0.221271,0.980469
5101,0.0106357,0.215135,0.984375
5171,0.0347151,0.238692,0.992188
5271,0.00501803,0.208256,0.996094
5371,0.0140469,0.216543,0.994792
5471,0.00582732,0.207586,0.996094
5571,0.00509717,0.206116,0.996875
5641,0.0171057,0.217598,1.0
5741,0.00330015,0.203053,1.0
5841,0.00816185,0.207173,1.0
5941,0.00375848,0.202032,1.0
6041,0.00389325,0.201428,1.0
6111,0.00938353,0.206396,1.0
6211,0.00262962,0.198906,1.0
6311,0.00596612,0.201506,1.0
6411,0.00282022,0.197627,1.0
6511,0.00315264,0.197227,1.0
6581,0.00703992,0.200598,1.0
6681,0.00217477,0.195003,1.0
6781,0.00481072,0.196911,1.0
6881,0.00227305,0.193649,1.0
6981,0.00269576,0.193347,1.0
