step, cross_entropy, loss, train_accuracy
1,2.63131,2.84339,0.0546875
101,1.66581,1.87748,0.222656
201,0.903551,1.12447,0.385417
301,0.583959,0.809981,0.492188
401,0.48398,0.71173,0.5625
471,0.522544,0.750487,0.828125
571,0.380108,0.607685,0.84375
671,0.42023,0.647291,0.854167
771,0.353777,0.579488,0.863281
871,0.273275,0.498372,0.871875
941,0.314621,0.538655,0.90625
1041,0.158524,0.381133,0.9375
1141,0.257019,0.478521,0.9375
1241,0.222521,0.443198,0.931641
1341,0.2235,0.443696,0.926562
1411,0.233122,0.452572,0.945313
1511,0.113186,0.332018,0.960938
1611,0.187127,0.405103,0.955729
1711,0.184532,0.402272,0.953125
1811,0.122398,0.33964,0.951563
1881,0.204356,0.421445,0.945313
1981,0.097392,0.313953,0.964844
2081,0.125294,0.340771,0.973958
2181,0.0983236,0.314103,0.974609
2281,0.154089,0.370694,0.96875
2351,0.215741,0.431915,0.9375
2451,0.0492985,0.265059,0.960938
2551,0.169079,0.384308,0.955729
2651,0.147538,0.363132,0.955078
2751,0.113983,0.329333,0.953125
2821,0.208737,0.423702,0.9375
2921,0.0416601,0.256568,0.964844
3021,0.12223,0.336464,0.960938
3121,0.169307,0.384112,0.957031
3221,0.0657643,0.280901,0.9625
3291,0.124576,0.339861,0.960938
3391,0.0800342,0.295582,0.96875
3491,0.112115,0.326648,0.96875
3591,0.271551,0.485372,0.955078
3691,0.103798,0.317557,0.957812
3761,0.0953564,0.308119,0.976563
3861,0.0812968,0.293828,0.980469
3961,0.131614,0.342919,0.976563
4061,0.0436518,0.254749,0.980469
4161,0.0797666,0.291419,0.976563
4231,0.05999,0.271524,0.976563
4331,0.0314534,0.242921,0.984375
4431,0.0643302,0.274178,0.986979
4531,0.0301901,0.240257,0.990234
4631,0.0690052,0.27909,0.984375
4701,0.093476,0.304234,0.96875
4801,0.00999051,0.220086,0.984375
4901,0.0369075,0.246272,0.986979
5001,0.0155297,0.224156,0.988281
5101,0.0166413,0.22452,0.989062
5171,0.0194495,0.226794,0.992188
5271,0.00346305,0.210055,0.996094
5371,0.0210434,0.226881,0.994792
5471,0.00443301,0.209518,0.996094
5571,0.00624993,0.210578,0.996875
5641,0.00626257,0.210055,1.0
5741,0.0022491,0.205287,1.0
5841,0.00891985,0.211204,0.997396
5941,0.00274,0.204273,0.998047
6041,0.00377095,0.204549,0.998438
6111,0.00466343,0.20491,1.0
6211,0.00170551,0.201203,1.0
6311,0.00444168,0.203191,1.0
6411,0.00192488,0.199928,1.0
6511,0.0029004,0.200156,1.0
6581,0.00378886,0.200519,1.0
6681,0.00143008,0.19742,1.0
6781,0.00290281,0.198152,1.0
6881,0.00152185,0.196034,1.0
6981,0.00242263,0.196196,1.0
