step, cross_entropy, loss, train_accuracy
1,2.64626,2.85833,0.0546875
101,1.60651,1.81986,0.253906
201,0.844093,1.0662,0.411458
301,0.610054,0.836379,0.511719
401,0.384191,0.611245,0.584375
471,0.568154,0.795042,0.828125
571,0.386183,0.612406,0.859375
671,0.380809,0.606052,0.875
771,0.404615,0.628811,0.876953
871,0.210146,0.433337,0.890625
941,0.276164,0.498364,0.921875
1041,0.207772,0.429286,0.925781
1141,0.220385,0.44105,0.932292
1241,0.254856,0.474635,0.931641
1341,0.168497,0.3877,0.935938
1411,0.235072,0.453966,0.921875
1511,0.159311,0.378154,0.941406
1611,0.155383,0.373625,0.947917
1711,0.143198,0.361364,0.953125
1811,0.192383,0.410487,0.948438
1881,0.271233,0.488781,0.921875
1981,0.0737077,0.291686,0.949219
2081,0.0647,0.282234,0.960938
2181,0.193303,0.410011,0.953125
2281,0.0851716,0.301635,0.95625
2351,0.186735,0.403552,0.929688
2451,0.124522,0.34194,0.953125
2551,0.0708065,0.286943,0.960938
2651,0.141433,0.357044,0.957031
2751,0.0934751,0.309038,0.957812
2821,0.0875913,0.302249,0.960938
2921,0.0447433,0.259139,0.972656
3021,0.0529057,0.267363,0.973958
3121,0.0956899,0.309849,0.96875
3221,0.0562134,0.270869,0.973437
3291,0.141458,0.356588,0.953125
3391,0.0438589,0.259027,0.972656
3491,0.127087,0.340924,0.96875
3591,0.131494,0.343984,0.966797
3691,0.107123,0.319446,0.965625
3761,0.120099,0.332497,0.953125
3861,0.0584743,0.27118,0.96875
3961,0.0424092,0.255659,0.976563
4061,0.0647524,0.276937,0.978516
4161,0.0810432,0.29367,0.976563
4231,0.0955377,0.30711,0.96875
4331,0.072668,0.28398,0.96875
4431,0.0627379,0.272935,0.971354
4531,0.0330709,0.242326,0.976563
4631,0.0254841,0.234768,0.98125
4701,0.143494,0.352687,0.953125
4801,0.00654906,0.215096,0.976563
4901,0.0197775,0.227596,0.984375
5001,0.00316685,0.210246,0.988281
5101,0.00689086,0.213218,0.990625
5171,0.00993921,0.215735,1.0
5271,0.00277513,0.207818,1.0
5371,0.0051604,0.20945,1.0
5471,0.00150154,0.205037,1.0
5571,0.00306702,0.205844,1.0
5641,0.006381,0.208625,1.0
5741,0.00201555,0.203506,1.0
5841,0.00324671,0.203985,1.0
5941,0.00114217,0.201129,1.0
6041,0.00229314,0.201526,1.0
6111,0.00504812,0.203753,1.0
6211,0.00164358,0.199601,1.0
6311,0.00242675,0.199639,1.0
6411,0.000965753,0.197434,1.0
6511,0.00187333,0.197596,1.0
6581,0.00422924,0.19943,1.0
6681,0.0014287,0.195892,1.0
6781,0.00199472,0.195722,1.0
6881,0.00085646,0.193849,1.0
6981,0.00161989,0.193877,1.0
