step, cross_entropy, loss, train_accuracy
1,2.63745,2.84953,0.0546875
101,1.74935,1.95943,0.179688
201,0.979132,1.19833,0.348958
301,0.682784,0.907091,0.453125
401,0.395107,0.620783,0.535937
471,0.492388,0.718206,0.84375
571,0.370851,0.595803,0.859375
671,0.40496,0.628981,0.861979
771,0.373305,0.595745,0.863281
871,0.275443,0.496566,0.871875
941,0.399655,0.620167,0.875
1041,0.18014,0.39966,0.921875
1141,0.274655,0.493123,0.924479
1241,0.306975,0.524335,0.914063
1341,0.201803,0.417943,0.914063
1411,0.237053,0.452682,0.9375
1511,0.150245,0.365503,0.941406
1611,0.256335,0.47108,0.921875
1711,0.169826,0.384115,0.929688
1811,0.181198,0.394712,0.93125
1881,0.215256,0.428618,0.9375
1981,0.104425,0.31722,0.957031
2081,0.160403,0.372609,0.955729
2181,0.151434,0.363969,0.953125
2281,0.136514,0.348787,0.951563
2351,0.182716,0.394487,0.945313
2451,0.0964826,0.308249,0.957031
2551,0.140238,0.352122,0.953125
2651,0.170688,0.382547,0.949219
2751,0.14298,0.354436,0.951563
2821,0.140213,0.351891,0.960938
2921,0.0613907,0.27362,0.964844
3021,0.124348,0.336724,0.963542
3121,0.136517,0.348197,0.962891
3221,0.103894,0.315581,0.964063
3291,0.167823,0.379452,0.960938
3391,0.0607475,0.271708,0.972656
3491,0.137138,0.348744,0.971354
3591,0.111746,0.321827,0.96875
3691,0.130127,0.341235,0.96875
3761,0.175704,0.386536,0.953125
3861,0.0672889,0.277731,0.964844
3961,0.0660724,0.275589,0.971354
4061,0.0804425,0.289332,0.974609
4161,0.106135,0.316475,0.970312
4231,0.0868509,0.296595,0.96875
4331,0.039973,0.249289,0.976563
4431,0.07651,0.284188,0.976563
4531,0.0668765,0.274517,0.978516
4631,0.0500755,0.257812,0.979688
4701,0.0858898,0.293125,0.976563
4801,0.0106638,0.217262,0.984375
4901,0.0494839,0.25536,0.986979
5001,0.00542502,0.210578,0.990234
5101,0.0045076,0.208926,0.992188
5171,0.014968,0.218862,0.992188
5271,0.0023449,0.205503,0.996094
5371,0.0239013,0.226318,0.994792
5471,0.00289103,0.204571,0.996094
5571,0.00260104,0.203537,0.996875
5641,0.00828683,0.208697,1.0
5741,0.00173773,0.201409,1.0
5841,0.0145119,0.213441,0.997396
5941,0.00213544,0.200328,0.998047
6041,0.00183118,0.199283,0.998438
6111,0.00492481,0.201854,1.0
6211,0.00146196,0.197657,1.0
6311,0.00960346,0.205062,1.0
6411,0.0017222,0.19645,1.0
6511,0.00148634,0.19548,1.0
6581,0.003396,0.196873,1.0
6681,0.00130841,0.194059,1.0
6781,0.00709877,0.199122,1.0
6881,0.00147099,0.192771,1.0
6981,0.00128694,0.191862,1.0
