step, cross_entropy, loss, train_accuracy
1,2.62734,2.83941,0.0546875
101,1.42198,1.63694,0.289063
201,0.853571,1.07842,0.445313
301,0.586092,0.813722,0.527344
401,0.426725,0.655004,0.595312
471,0.477744,0.705779,0.84375
571,0.334142,0.561629,0.871094
671,0.440512,0.666984,0.867188
771,0.336968,0.562109,0.873047
871,0.286066,0.510272,0.878125
941,0.359094,0.582409,0.890625
1041,0.251132,0.47373,0.910156
1141,0.292271,0.514019,0.908854
1241,0.162335,0.38279,0.916016
1341,0.154009,0.373522,0.925
1411,0.246547,0.466085,0.921875
1511,0.167772,0.387065,0.9375
1611,0.181183,0.399979,0.942708
1711,0.146729,0.364964,0.949219
1811,0.13353,0.351624,0.948438
1881,0.217921,0.435664,0.929688
1981,0.224243,0.441947,0.925781
2081,0.227447,0.44486,0.916667
2181,0.147191,0.364205,0.925781
2281,0.134017,0.351684,0.93125
2351,0.133235,0.350398,0.976563
2451,0.13615,0.352468,0.972656
2551,0.1227,0.339693,0.966146
2651,0.124415,0.341308,0.962891
2751,0.149255,0.365659,0.957812
2821,0.119399,0.335042,0.960938
2921,0.114109,0.329518,0.957031
3021,0.0915975,0.306418,0.963542
3121,0.11644,0.331462,0.964844
3221,0.0828767,0.297599,0.967188
3291,0.123246,0.33726,0.945313
3391,0.0945602,0.308225,0.960938
3491,0.110362,0.32426,0.958333
3591,0.056973,0.269849,0.964844
3691,0.110405,0.322717,0.964063
3761,0.0720033,0.284277,0.976563
3861,0.0767319,0.288657,0.976563
3961,0.0915253,0.302582,0.971354
4061,0.0880448,0.29947,0.96875
4161,0.119012,0.329653,0.970312
4231,0.175329,0.38683,0.929688
4331,0.0424725,0.25373,0.957031
4431,0.0329944,0.242375,0.966146
4531,0.0781053,0.286999,0.964844
4631,0.0756117,0.284923,0.965625
4701,0.1203,0.328318,0.96875
4801,0.00904946,0.21639,0.984375
4901,0.0298865,0.236488,0.986979
5001,0.00416574,0.210021,0.990234
5101,0.00238337,0.207493,0.992188
5171,0.00627655,0.210853,1.0
5271,0.00296001,0.20679,1.0
5371,0.0110769,0.214156,1.0
5471,0.00222962,0.204557,1.0
5571,0.00177498,0.20335,1.0
5641,0.00481271,0.205856,1.0
5741,0.00188707,0.202183,1.0
5841,0.00723909,0.206787,1.0
5941,0.00171452,0.200515,1.0
6041,0.00147089,0.199524,1.0
6111,0.00378338,0.201309,1.0
6211,0.00150527,0.19829,1.0
6311,0.0052184,0.201262,1.0
6411,0.00146111,0.196765,1.0
6511,0.00127936,0.195844,1.0
6581,0.00317934,0.197223,1.0
6681,0.00129772,0.194609,1.0
6781,0.00418419,0.196764,1.0
6881,0.00130043,0.19315,1.0
6981,0.00115102,0.192271,1.0
