step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.63328,2.84536,0.0546875,1,2.64766,2.85974,0.0546875,1,2.63603,2.84811,0.0546875,1,2.62281,2.83489,0.0546875,1,2.65086,2.86294,0.0546875,1,2.64989,2.86196,0.0546875,1,2.64161,2.85368,0.0546875,1,2.64945,2.86153,0.0546875
101,1.70726,1.91691,0.199219,101,1.87083,2.08153,0.183594,101,1.65455,1.86676,0.210938,101,1.62914,1.83979,0.222656,101,1.81464,2.02462,0.203125,101,1.8932,2.10321,0.171875,101,1.86814,2.07725,0.179688,101,1.94667,2.1563,0.15625
201,0.837282,1.05735,0.385417,201,1.21536,1.43166,0.335938,201,0.824621,1.04562,0.380208,201,0.978638,1.19929,0.372396,201,1.14858,1.36464,0.356771,201,1.28278,1.49833,0.317708,201,0.865155,1.08261,0.359375,201,1.17347,1.38795,0.299479
301,0.573609,0.797632,0.488281,301,0.754036,0.978162,0.441406,301,0.668929,0.894814,0.478516,301,0.62463,0.849513,0.476563,301,0.6916,0.915276,0.470703,301,0.615961,0.839718,0.4375,301,0.66394,0.887805,0.466797,301,0.714404,0.936638,0.414063
401,0.420762,0.646152,0.564062,401,0.527401,0.753296,0.520312,401,0.396479,0.623365,0.557813,401,0.412783,0.638454,0.553125,401,0.468199,0.694618,0.546875,401,0.524199,0.751152,0.520312,401,0.384637,0.609796,0.553125,401,0.600742,0.825862,0.495313
471,0.581689,0.807094,0.828125,471,0.459829,0.685955,0.859375,471,0.606247,0.832598,0.820313,471,0.57428,0.79974,0.851563,471,0.536877,0.763887,0.8125,471,0.493653,0.721035,0.859375,471,0.537417,0.762548,0.867188,471,0.577674,0.803391,0.8125
571,0.333768,0.558547,0.859375,571,0.395134,0.620921,0.875,571,0.395436,0.620868,0.847656,571,0.312905,0.537752,0.882813,571,0.3711,0.598572,0.855469,571,0.417188,0.645064,0.863281,571,0.393377,0.618184,0.855469,571,0.428403,0.654198,0.847656
671,0.397833,0.621949,0.869792,671,0.440489,0.664988,0.872396,671,0.447063,0.67146,0.856771,671,0.435057,0.658942,0.888021,671,0.414582,0.641432,0.872396,671,0.444276,0.671357,0.872396,671,0.369672,0.593819,0.856771,671,0.416176,0.641499,0.859375
771,0.366553,0.589374,0.867188,771,0.403383,0.62681,0.869141,771,0.368114,0.591553,0.863281,771,0.411421,0.634131,0.876953,771,0.361488,0.58746,0.875,771,0.265494,0.491731,0.878906,771,0.441039,0.664061,0.84375,771,0.31273,0.536708,0.865234
871,0.226791,0.448823,0.884375,871,0.276643,0.498895,0.879687,871,0.204178,0.426592,0.875,871,0.211688,0.433711,0.890625,871,0.284789,0.509846,0.882813,871,0.360178,0.585319,0.879687,871,0.280769,0.502871,0.857813,871,0.264546,0.487618,0.873438
