step, cross_entropy, loss, train_accuracy
1,2.64989,2.86196,0.0546875
101,1.8932,2.10321,0.171875
201,1.28278,1.49833,0.317708
301,0.615961,0.839718,0.4375
401,0.524199,0.751152,0.520312
471,0.493653,0.721035,0.859375
571,0.417188,0.645064,0.863281
671,0.444276,0.671357,0.872396
771,0.265494,0.491731,0.878906
871,0.360178,0.585319,0.879687
941,0.388315,0.612264,0.867188
1041,0.263875,0.487438,0.890625
1141,0.292099,0.514845,0.903646
1241,0.173601,0.395294,0.921875
1341,0.225364,0.446348,0.920313
1411,0.226376,0.44708,0.9375
1511,0.214889,0.435803,0.925781
1611,0.21135,0.431646,0.932292
1711,0.187305,0.407844,0.935547
1811,0.186505,0.406821,0.935938
1881,0.252823,0.473171,0.898438
1981,0.118813,0.339759,0.925781
2081,0.171399,0.392045,0.929688
2181,0.116972,0.338193,0.933594
2281,0.151841,0.372574,0.934375
2351,0.178061,0.398678,0.945313
2451,0.108601,0.32982,0.957031
2551,0.135731,0.356945,0.958333
2651,0.162162,0.383777,0.955078
2751,0.167754,0.388947,0.95625
2821,0.138145,0.360071,0.960938
2921,0.101028,0.322209,0.96875
3021,0.114548,0.336321,0.963542
3121,0.094331,0.316344,0.962891
3221,0.148885,0.371435,0.959375
3291,0.147257,0.369116,0.945313
3391,0.0491482,0.270613,0.972656
3491,0.181305,0.40318,0.966146
3591,0.0902514,0.312548,0.966797
3691,0.0470192,0.268776,0.971875
3761,0.13424,0.355809,0.9375
3861,0.0680339,0.290975,0.957031
3961,0.0709095,0.293487,0.960938
4061,0.0775771,0.299788,0.962891
4161,0.105168,0.327884,0.965625
4231,0.0830776,0.305224,0.960938
4331,0.0644019,0.286474,0.972656
4431,0.0864592,0.308396,0.973958
4531,0.0360571,0.257673,0.976563
4631,0.0758717,0.297229,0.978125
4701,0.115822,0.336431,0.953125
4801,0.0121799,0.232097,0.972656
4901,0.0262746,0.245418,0.979167
5001,0.00714771,0.225508,0.984375
5101,0.00381853,0.221388,0.9875
5171,0.00691485,0.22392,1.0
5271,0.00293882,0.21915,1.0
5371,0.0100197,0.225435,0.997396
5471,0.0018874,0.216507,0.998047
5571,0.00251031,0.216333,0.998438
5641,0.00435931,0.217618,1.0
5741,0.00250631,0.214971,1.0
5841,0.00579474,0.217465,1.0
5941,0.00123043,0.212108,1.0
6041,0.00193507,0.21202,1.0
6111,0.00338591,0.212911,1.0
6211,0.00221526,0.210953,1.0
6311,0.00395105,0.211902,1.0
6411,0.000957496,0.208123,1.0
6511,0.00159173,0.207973,1.0
6581,0.00283676,0.208665,1.0
6681,0.00200175,0.207052,1.0
6781,0.00299497,0.207267,1.0
6881,0.000794198,0.204291,1.0
6981,0.00138279,0.204105,1.0
