step, cross_entropy, loss, train_accuracy
1,2.64161,2.85368,0.0546875
101,1.86814,2.07725,0.179688
201,0.865155,1.08261,0.359375
301,0.66394,0.887805,0.466797
401,0.384637,0.609796,0.553125
471,0.537417,0.762548,0.867188
571,0.393377,0.618184,0.855469
671,0.369672,0.593819,0.856771
771,0.441039,0.664061,0.84375
871,0.280769,0.502871,0.857813
941,0.33605,0.557052,0.890625
1041,0.227241,0.447669,0.902344
1141,0.265898,0.485398,0.903646
1241,0.280838,0.499713,0.900391
1341,0.225409,0.443568,0.9
1411,0.242597,0.459957,0.929688
1511,0.143727,0.361131,0.941406
1611,0.201595,0.41891,0.945313
1711,0.244468,0.461657,0.929688
1811,0.200611,0.417432,0.932813
1881,0.172504,0.38873,0.945313
1981,0.0811115,0.296939,0.960938
2081,0.161319,0.376797,0.955729
2181,0.224568,0.439833,0.949219
2281,0.145149,0.360785,0.948438
2351,0.205802,0.420905,0.953125
2451,0.0951387,0.30984,0.957031
2551,0.110844,0.325489,0.958333
2651,0.097652,0.312015,0.962891
2751,0.103096,0.317851,0.9625
2821,0.159886,0.375102,0.960938
2921,0.0765743,0.291342,0.960938
3021,0.0928736,0.307562,0.963542
3121,0.0884273,0.302386,0.962891
3221,0.0831987,0.29767,0.964063
3291,0.192449,0.406259,0.9375
3391,0.0644347,0.277948,0.953125
3491,0.0881578,0.302215,0.955729
3591,0.161301,0.374201,0.949219
3691,0.0998012,0.31285,0.951563
3761,0.080195,0.293495,0.976563
3861,0.0990241,0.312409,0.980469
3961,0.0535851,0.266671,0.981771
4061,0.0421324,0.254826,0.984375
4161,0.0807238,0.293914,0.98125
4231,0.0815982,0.294296,0.96875
4331,0.0639251,0.276762,0.972656
4431,0.0867399,0.298941,0.976563
4531,0.109458,0.319784,0.970703
4631,0.0470988,0.258408,0.971875
4701,0.119795,0.330671,0.960938
4801,0.0297499,0.23998,0.972656
4901,0.0341016,0.243603,0.979167
5001,0.00619232,0.214953,0.984375
5101,0.00287135,0.210884,0.9875
5171,0.0149877,0.222467,1.0
5271,0.00709846,0.21383,1.0
5371,0.016078,0.222057,0.997396
5471,0.003681,0.208906,0.998047
5571,0.00196943,0.20644,0.998438
5641,0.00903055,0.212965,1.0
5741,0.00425398,0.207436,1.0
5841,0.00863759,0.211066,1.0
5941,0.0026583,0.204334,1.0
6041,0.00157737,0.2025,1.0
6111,0.00692174,0.207313,1.0
6211,0.00320187,0.202845,1.0
6311,0.00565741,0.204552,1.0
6411,0.0021596,0.200308,1.0
6511,0.00137239,0.198775,1.0
6581,0.00577037,0.202647,1.0
6681,0.00261451,0.198751,1.0
6781,0.00423374,0.199631,1.0
6881,0.00186478,0.196523,1.0
6981,0.00124934,0.195172,1.0
