step, cross_entropy, loss, train_accuracy
1,2.64945,2.86153,0.0546875
101,1.94667,2.1563,0.15625
201,1.17347,1.38795,0.299479
301,0.714404,0.936638,0.414063
401,0.600742,0.825862,0.495313
471,0.577674,0.803391,0.8125
571,0.428403,0.654198,0.847656
671,0.416176,0.641499,0.859375
771,0.31273,0.536708,0.865234
871,0.264546,0.487618,0.873438
941,0.313738,0.535791,0.929688
1041,0.302284,0.523652,0.914063
1141,0.270698,0.490963,0.921875
1241,0.194263,0.41379,0.933594
1341,0.253489,0.472255,0.928125
1411,0.238156,0.456598,0.921875
1511,0.231278,0.449705,0.917969
1611,0.318655,0.53656,0.916667
1711,0.167056,0.385474,0.923828
1811,0.0928154,0.311338,0.935938
1881,0.212319,0.43056,0.929688
1981,0.18377,0.402628,0.933594
2081,0.234716,0.453487,0.932292
2181,0.132508,0.351383,0.9375
2281,0.0469094,0.265541,0.948438
2351,0.235701,0.454506,0.914063
2451,0.140118,0.359916,0.933594
2551,0.134019,0.353848,0.945313
2651,0.104425,0.324042,0.951172
2751,0.157212,0.376309,0.951563
2821,0.158742,0.37842,0.96875
2921,0.10246,0.322545,0.960938
3021,0.0915179,0.311255,0.963542
3121,0.149477,0.369979,0.960938
3221,0.0729872,0.293012,0.964063
3291,0.0995187,0.31979,0.976563
3391,0.0994475,0.32,0.972656
3491,0.0642591,0.285546,0.971354
3591,0.0908722,0.311085,0.974609
3691,0.127678,0.348722,0.970312
3761,0.12641,0.347552,0.96875
3861,0.0682626,0.29002,0.976563
3961,0.0532526,0.273733,0.981771
4061,0.0997789,0.320443,0.980469
4161,0.101545,0.322361,0.976563
4231,0.0892218,0.309456,0.984375
4331,0.0550088,0.276653,0.984375
4431,0.138746,0.359817,0.96875
4531,0.0912881,0.312561,0.96875
4631,0.0441354,0.265396,0.975
4701,0.121437,0.341824,0.945313
4801,0.010511,0.230224,0.972656
4901,0.0237257,0.242674,0.979167
5001,0.00843169,0.226602,0.984375
5101,0.0271302,0.244508,0.985937
5171,0.0069425,0.223757,1.0
5271,0.00325584,0.219283,1.0
5371,0.00870817,0.223947,1.0
5471,0.00291555,0.217362,1.0
5571,0.00281305,0.216462,1.0
5641,0.00425884,0.217345,1.0
5741,0.00243229,0.214729,1.0
5841,0.00585501,0.217361,1.0
5941,0.00223196,0.212947,1.0
6041,0.00204727,0.211969,1.0
6111,0.00313515,0.212499,1.0
6211,0.00178315,0.210363,1.0
6311,0.00424695,0.212042,1.0
6411,0.0017717,0.208782,1.0
6511,0.00175291,0.207978,1.0
6581,0.00255457,0.208229,1.0
6681,0.00140299,0.206301,1.0
6781,0.00335036,0.207473,1.0
6881,0.00146745,0.204815,1.0
6981,0.00157541,0.204148,1.0
