step, cross_entropy, loss, train_accuracy
1,2.83543,2.83543,0.0625
101,2.3074,2.3074,0.0703125
201,2.30652,2.30652,0.0703125
301,2.30487,2.30487,0.0742188
394,2.30901,2.30901,0.078125
494,2.30568,2.30568,0.0703125
594,2.3007,2.3007,0.0729167
694,2.30944,2.30944,0.078125
787,2.31168,2.31168,0.0859375
887,2.32189,2.32189,0.078125
987,2.28909,2.28909,0.0807292
1087,2.28923,2.28923,0.0898438
1180,2.30825,2.30825,0.078125
1280,2.26667,2.26667,0.101563
1380,2.25692,2.25692,0.0989583
1480,2.24958,2.24958,0.109375
1573,2.19293,2.19293,0.164063
1673,2.12454,2.12454,0.199219
1773,2.09689,2.09689,0.1875
1873,2.08708,2.08708,0.193359
1966,1.92445,1.92445,0.28125
2066,1.94601,1.94601,0.289063
2166,1.87506,1.87506,0.278646
2266,2.0533,2.0533,0.263672
2359,1.83264,1.83264,0.273438
2459,1.80783,1.80783,0.324219
2559,1.74698,1.74698,0.330729
2659,1.92398,1.92398,0.318359
2752,1.76181,1.76181,0.3125
2852,1.70585,1.70585,0.367188
2952,1.65875,1.65875,0.364583
3052,1.72275,1.72275,0.367188
3145,1.69528,1.69528,0.367188
3245,1.62907,1.62907,0.40625
3345,1.57858,1.57858,0.40625
3445,1.74495,1.74495,0.396484
3538,1.57969,1.57969,0.414063
3638,1.56644,1.56644,0.449219
3738,1.47995,1.47995,0.4375
3838,1.60863,1.60863,0.4375
3931,1.38024,1.38024,0.5
4031,1.48938,1.48938,0.5
4131,1.44468,1.44468,0.505208
4231,1.53366,1.53366,0.5
4324,1.33486,1.33486,0.492188
4424,1.47719,1.47719,0.488281
4524,1.42066,1.42066,0.5
4624,1.52489,1.52489,0.496094
4717,1.321,1.321,0.492188
4817,1.4677,1.4677,0.488281
4917,1.40274,1.40274,0.507813
5017,1.51566,1.51566,0.503906
5110,1.31093,1.31093,0.484375
5210,1.4604,1.4604,0.484375
5310,1.38901,1.38901,0.505208
5410,1.506,1.506,0.501953
5503,1.30137,1.30137,0.484375
5603,1.45228,1.45228,0.488281
5703,1.37562,1.37562,0.513021
5803,1.49533,1.49533,0.507813
