step, cross_entropy, loss, train_accuracy
1,2.83087,2.83087,0.0703125
101,2.31011,2.31011,0.0703125
201,2.30505,2.30505,0.0677083
301,2.30279,2.30279,0.0761719
394,2.30682,2.30682,0.078125
494,2.3085,2.3085,0.0703125
594,2.30333,2.30333,0.0703125
694,2.30173,2.30173,0.0800781
787,2.30971,2.30971,0.078125
887,2.31246,2.31246,0.0742188
987,2.30094,2.30094,0.0729167
1087,2.30931,2.30931,0.0820313
1180,2.31231,2.31231,0.078125
1280,2.30524,2.30524,0.0820313
1380,2.27609,2.27609,0.078125
1480,2.27605,2.27605,0.0917969
1573,2.2435,2.2435,0.164063
1673,2.20249,2.20249,0.171875
1773,2.24223,2.24223,0.161458
1873,2.21472,2.21472,0.15625
1966,2.03245,2.03245,0.21875
2066,1.99647,1.99647,0.253906
2166,1.96371,1.96371,0.25
2266,1.99524,1.99524,0.257813
2359,1.83299,1.83299,0.28125
2459,1.85025,1.85025,0.332031
2559,1.80739,1.80739,0.309896
2659,1.97123,1.97123,0.308594
2752,1.73844,1.73844,0.328125
2852,1.74027,1.74027,0.371094
2952,1.68514,1.68514,0.354167
3052,1.78098,1.78098,0.357422
3145,1.60517,1.60517,0.398438
3245,1.66094,1.66094,0.40625
3345,1.58171,1.58171,0.395833
3445,1.72954,1.72954,0.396484
3538,1.51811,1.51811,0.453125
3638,1.57008,1.57008,0.460938
3738,1.50039,1.50039,0.442708
3838,1.69899,1.69899,0.425781
3931,1.33685,1.33685,0.53125
4031,1.48302,1.48302,0.511719
4131,1.43407,1.43407,0.507813
4231,1.55658,1.55658,0.496094
4324,1.29401,1.29401,0.539063
4424,1.46758,1.46758,0.523438
4524,1.41464,1.41464,0.510417
4624,1.54706,1.54706,0.503906
4717,1.28075,1.28075,0.539063
4817,1.45562,1.45562,0.523438
4917,1.40298,1.40298,0.515625
5017,1.53719,1.53719,0.505859
5110,1.26989,1.26989,0.554688
5210,1.44488,1.44488,0.53125
5310,1.39067,1.39067,0.526042
5410,1.52706,1.52706,0.513672
5503,1.2616,1.2616,0.554688
5603,1.43466,1.43466,0.539063
5703,1.38095,1.38095,0.53125
5803,1.51846,1.51846,0.517578
