step, cross_entropy, loss, train_accuracy
1,2.80349,2.80349,0.0625
101,2.30562,2.30562,0.0703125
201,2.30632,2.30632,0.0677083
301,2.30409,2.30409,0.0722656
394,2.30816,2.30816,0.0859375
494,2.3093,2.3093,0.0703125
594,2.30379,2.30379,0.0651042
694,2.3105,2.3105,0.0703125
787,2.30994,2.30994,0.0703125
887,2.31227,2.31227,0.0898438
987,2.2757,2.2757,0.0885417
1087,2.29255,2.29255,0.09375
1180,2.30542,2.30542,0.078125
1280,2.26401,2.26401,0.117188
1380,2.24352,2.24352,0.130208
1480,2.25551,2.25551,0.136719
1573,2.19068,2.19068,0.132813
1673,2.15115,2.15115,0.164063
1773,2.1448,2.1448,0.1875
1873,2.09423,2.09423,0.203125
1966,1.92955,1.92955,0.296875
2066,1.97146,1.97146,0.304688
2166,1.87489,1.87489,0.302083
2266,1.98045,1.98045,0.296875
2359,1.8221,1.8221,0.351563
2459,1.81286,1.81286,0.375
2559,1.73313,1.73313,0.354167
2659,1.96689,1.96689,0.341797
2752,1.77744,1.77744,0.351563
2852,1.71661,1.71661,0.402344
2952,1.59908,1.59908,0.398438
3052,1.7189,1.7189,0.394531
3145,1.68498,1.68498,0.398438
3245,1.60684,1.60684,0.4375
3345,1.50384,1.50384,0.440104
3445,1.65177,1.65177,0.433594
3538,1.62392,1.62392,0.453125
3638,1.54414,1.54414,0.46875
3738,1.4335,1.4335,0.481771
3838,1.61688,1.61688,0.462891
3931,1.4039,1.4039,0.507813
4031,1.47493,1.47493,0.53125
4131,1.37684,1.37684,0.533854
4231,1.52011,1.52011,0.517578
4324,1.36231,1.36231,0.507813
4424,1.46591,1.46591,0.535156
4524,1.36024,1.36024,0.539063
4624,1.51057,1.51057,0.523438
4717,1.35165,1.35165,0.507813
4817,1.45529,1.45529,0.535156
4917,1.34838,1.34838,0.536458
5017,1.50192,1.50192,0.521484
5110,1.3418,1.3418,0.515625
5210,1.44772,1.44772,0.539063
5310,1.33785,1.33785,0.539063
5410,1.49401,1.49401,0.523438
5503,1.33314,1.33314,0.523438
5603,1.4392,1.4392,0.539063
5703,1.32852,1.32852,0.541667
5803,1.48581,1.48581,0.525391
