step, cross_entropy, loss, train_accuracy
1,2.8469,2.8469,0.0703125
101,2.30614,2.30614,0.0703125
201,2.30528,2.30528,0.0651042
301,2.30583,2.30583,0.0722656
394,2.30608,2.30608,0.078125
494,2.30507,2.30507,0.078125
594,2.30417,2.30417,0.0729167
694,2.30545,2.30545,0.0800781
787,2.30847,2.30847,0.078125
887,2.30189,2.30189,0.0820313
987,2.30439,2.30439,0.078125
1087,2.3061,2.3061,0.0859375
1180,2.30986,2.30986,0.0859375
1280,2.3085,2.3085,0.09375
1380,2.28854,2.28854,0.0963542
1480,2.30105,2.30105,0.107422
1573,2.29815,2.29815,0.140625
1673,2.22041,2.22041,0.164063
1773,2.22658,2.22658,0.166667
1873,2.22375,2.22375,0.162109
1966,2.175,2.175,0.171875
2066,2.0727,2.0727,0.21875
2166,2.11235,2.11235,0.216146
2266,2.07506,2.07506,0.224609
2359,1.92403,1.92403,0.234375
2459,1.88846,1.88846,0.265625
2559,1.86613,1.86613,0.270833
2659,1.93386,1.93386,0.279297
2752,1.83824,1.83824,0.289063
2852,1.7378,1.7378,0.332031
2952,1.70314,1.70314,0.338542
3052,1.93663,1.93663,0.337891
3145,1.676,1.676,0.375
3245,1.66994,1.66994,0.386719
3345,1.59688,1.59688,0.390625
3445,1.91524,1.91524,0.378906
3538,1.56198,1.56198,0.4375
3638,1.59067,1.59067,0.449219
3738,1.53771,1.53771,0.453125
3838,1.7325,1.7325,0.439453
3931,1.39522,1.39522,0.484375
4031,1.50689,1.50689,0.492188
4131,1.48036,1.48036,0.481771
4231,1.52957,1.52957,0.474609
4324,1.34226,1.34226,0.476563
4424,1.4875,1.4875,0.484375
4524,1.46872,1.46872,0.481771
4624,1.5099,1.5099,0.474609
4717,1.3273,1.3273,0.476563
4817,1.47424,1.47424,0.492188
4917,1.46028,1.46028,0.486979
5017,1.49824,1.49824,0.482422
5110,1.31591,1.31591,0.476563
5210,1.46285,1.46285,0.492188
5310,1.45226,1.45226,0.489583
5410,1.48783,1.48783,0.484375
5503,1.30554,1.30554,0.484375
5603,1.45322,1.45322,0.503906
5703,1.44472,1.44472,0.497396
5803,1.47701,1.47701,0.490234
