step, cross_entropy, loss, train_accuracy
1,2.81336,2.81336,0.0625
101,2.30741,2.30741,0.0742188
201,2.30572,2.30572,0.0703125
301,2.30415,2.30415,0.0761719
394,2.30609,2.30609,0.0859375
494,2.30606,2.30606,0.0820313
594,2.30377,2.30377,0.0755208
694,2.31227,2.31227,0.0820313
787,2.31055,2.31055,0.0859375
887,2.3253,2.3253,0.0859375
987,2.28357,2.28357,0.0859375
1087,2.29178,2.29178,0.0878906
1180,2.29824,2.29824,0.109375
1280,2.26301,2.26301,0.117188
1380,2.25226,2.25226,0.127604
1480,2.26266,2.26266,0.130859
1573,2.22261,2.22261,0.179688
1673,2.17356,2.17356,0.199219
1773,2.18028,2.18028,0.190104
1873,2.16266,2.16266,0.197266
1966,2.02003,2.02003,0.257813
2066,1.98259,1.98259,0.265625
2166,1.93213,1.93213,0.255208
2266,2.0213,2.0213,0.255859
2359,1.8155,1.8155,0.289063
2459,1.81113,1.81113,0.332031
2559,1.78645,1.78645,0.330729
2659,2.00065,2.00065,0.324219
2752,1.76093,1.76093,0.320313
2852,1.68588,1.68588,0.371094
2952,1.64918,1.64918,0.367188
3052,1.8521,1.8521,0.353516
3145,1.66398,1.66398,0.367188
3245,1.60675,1.60675,0.40625
3345,1.54172,1.54172,0.403646
3445,1.63294,1.63294,0.402344
3538,1.58641,1.58641,0.390625
3638,1.52934,1.52934,0.429688
3738,1.46878,1.46878,0.440104
3838,1.57244,1.57244,0.443359
3931,1.39146,1.39146,0.515625
4031,1.45983,1.45983,0.519531
4131,1.40597,1.40597,0.510417
4231,1.49943,1.49943,0.501953
4324,1.34915,1.34915,0.539063
4424,1.43668,1.43668,0.523438
4524,1.38889,1.38889,0.520833
4624,1.48906,1.48906,0.511719
4717,1.33785,1.33785,0.53125
4817,1.42581,1.42581,0.519531
4917,1.37669,1.37669,0.515625
5017,1.4798,1.4798,0.509766
5110,1.32938,1.32938,0.53125
5210,1.41718,1.41718,0.519531
5310,1.36534,1.36534,0.518229
5410,1.47192,1.47192,0.511719
5503,1.32016,1.32016,0.53125
5603,1.40769,1.40769,0.527344
5703,1.35336,1.35336,0.526042
5803,1.4629,1.4629,0.517578
