step_BGR, cross_entropy_BGR, loss_BGR, train_accuracy_BGR,step_BRG, cross_entropy_BRG, loss_BRG, train_accuracy_BRG,step_GRB, cross_entropy_GRB, loss_GRB, train_accuracy_GRB,step_GBR, cross_entropy_GBR, loss_GBR, train_accuracy_GBR,step_RBG, cross_entropy_RBG, loss_RBG, train_accuracy_RBG,step_RGB, cross_entropy_RGB, loss_RGB, train_accuracy_RGB
1,2.83543,2.83543,0.0625,1,2.83087,2.83087,0.0703125,1,2.8469,2.8469,0.0703125,1,2.80349,2.80349,0.0625,1,2.81336,2.81336,0.0625,1,2.85327,2.85327,0.0703125
101,2.3074,2.3074,0.0703125,101,2.31011,2.31011,0.0703125,101,2.30614,2.30614,0.0703125,101,2.30562,2.30562,0.0703125,101,2.30741,2.30741,0.0742188,101,2.30699,2.30699,0.0703125
201,2.30652,2.30652,0.0703125,201,2.30505,2.30505,0.0677083,201,2.30528,2.30528,0.0651042,201,2.30632,2.30632,0.0677083,201,2.30572,2.30572,0.0703125,201,2.3053,2.3053,0.0677083
301,2.30487,2.30487,0.0742188,301,2.30279,2.30279,0.0761719,301,2.30583,2.30583,0.0722656,301,2.30409,2.30409,0.0722656,301,2.30415,2.30415,0.0761719,301,2.30442,2.30442,0.0742188
394,2.30901,2.30901,0.078125,394,2.30682,2.30682,0.078125,394,2.30608,2.30608,0.078125,394,2.30816,2.30816,0.0859375,394,2.30609,2.30609,0.0859375,394,2.30435,2.30435,0.0859375
494,2.30568,2.30568,0.0703125,494,2.3085,2.3085,0.0703125,494,2.30507,2.30507,0.078125,494,2.3093,2.3093,0.0703125,494,2.30606,2.30606,0.0820313,494,2.30336,2.30336,0.0820313
594,2.3007,2.3007,0.0729167,594,2.30333,2.30333,0.0703125,594,2.30417,2.30417,0.0729167,594,2.30379,2.30379,0.0651042,594,2.30377,2.30377,0.0755208,594,2.30481,2.30481,0.078125
694,2.30944,2.30944,0.078125,694,2.30173,2.30173,0.0800781,694,2.30545,2.30545,0.0800781,694,2.3105,2.3105,0.0703125,694,2.31227,2.31227,0.0820313,694,2.30458,2.30458,0.0839844
787,2.31168,2.31168,0.0859375,787,2.30971,2.30971,0.078125,787,2.30847,2.30847,0.078125,787,2.30994,2.30994,0.0703125,787,2.31055,2.31055,0.0859375,787,2.30752,2.30752,0.078125
887,2.32189,2.32189,0.078125,887,2.31246,2.31246,0.0742188,887,2.30189,2.30189,0.0820313,887,2.31227,2.31227,0.0898438,887,2.3253,2.3253,0.0859375,887,2.30709,2.30709,0.0820313
987,2.28909,2.28909,0.0807292,987,2.30094,2.30094,0.0729167,987,2.30439,2.30439,0.078125,987,2.2757,2.2757,0.0885417,987,2.28357,2.28357,0.0859375,987,2.30219,2.30219,0.0729167
1087,2.28923,2.28923,0.0898438,1087,2.30931,2.30931,0.0820313,1087,2.3061,2.3061,0.0859375,1087,2.29255,2.29255,0.09375,1087,2.29178,2.29178,0.0878906,1087,2.30571,2.30571,0.0800781
1180,2.30825,2.30825,0.078125,1180,2.31231,2.31231,0.078125,1180,2.30986,2.30986,0.0859375,1180,2.30542,2.30542,0.078125,1180,2.29824,2.29824,0.109375,1180,2.31614,2.31614,0.0703125
1280,2.26667,2.26667,0.101563,1280,2.30524,2.30524,0.0820313,1280,2.3085,2.3085,0.09375,1280,2.26401,2.26401,0.117188,1280,2.26301,2.26301,0.117188,1280,2.29133,2.29133,0.09375
1380,2.25692,2.25692,0.0989583,1380,2.27609,2.27609,0.078125,1380,2.28854,2.28854,0.0963542,1380,2.24352,2.24352,0.130208,1380,2.25226,2.25226,0.127604,1380,2.26039,2.26039,0.09375
1480,2.24958,2.24958,0.109375,1480,2.27605,2.27605,0.0917969,1480,2.30105,2.30105,0.107422,1480,2.25551,2.25551,0.136719,1480,2.26266,2.26266,0.130859,1480,2.27299,2.27299,0.0976563
1573,2.19293,2.19293,0.164063,1573,2.2435,2.2435,0.164063,1573,2.29815,2.29815,0.140625,1573,2.19068,2.19068,0.132813,1573,2.22261,2.22261,0.179688,1573,2.25092,2.25092,0.148438
1673,2.12454,2.12454,0.199219,1673,2.20249,2.20249,0.171875,1673,2.22041,2.22041,0.164063,1673,2.15115,2.15115,0.164063,1673,2.17356,2.17356,0.199219,1673,2.20901,2.20901,0.15625
1773,2.09689,2.09689,0.1875,1773,2.24223,2.24223,0.161458,1773,2.22658,2.22658,0.166667,1773,2.1448,2.1448,0.1875,1773,2.18028,2.18028,0.190104,1773,2.2086,2.2086,0.169271
1873,2.08708,2.08708,0.193359,1873,2.21472,2.21472,0.15625,1873,2.22375,2.22375,0.162109,1873,2.09423,2.09423,0.203125,1873,2.16266,2.16266,0.197266,1873,2.20163,2.20163,0.169922
1966,1.92445,1.92445,0.28125,1966,2.03245,2.03245,0.21875,1966,2.175,2.175,0.171875,1966,1.92955,1.92955,0.296875,1966,2.02003,2.02003,0.257813,1966,2.07758,2.07758,0.210938
2066,1.94601,1.94601,0.289063,2066,1.99647,1.99647,0.253906,2066,2.0727,2.0727,0.21875,2066,1.97146,1.97146,0.304688,2066,1.98259,1.98259,0.265625,2066,2.02666,2.02666,0.238281
2166,1.87506,1.87506,0.278646,2166,1.96371,1.96371,0.25,2166,2.11235,2.11235,0.216146,2166,1.87489,1.87489,0.302083,2166,1.93213,1.93213,0.255208,2166,1.97798,1.97798,0.242188
2266,2.0533,2.0533,0.263672,2266,1.99524,1.99524,0.257813,2266,2.07506,2.07506,0.224609,2266,1.98045,1.98045,0.296875,2266,2.0213,2.0213,0.255859,2266,1.96377,1.96377,0.244141
2359,1.83264,1.83264,0.273438,2359,1.83299,1.83299,0.28125,2359,1.92403,1.92403,0.234375,2359,1.8221,1.8221,0.351563,2359,1.8155,1.8155,0.289063,2359,1.85969,1.85969,0.28125
2459,1.80783,1.80783,0.324219,2459,1.85025,1.85025,0.332031,2459,1.88846,1.88846,0.265625,2459,1.81286,1.81286,0.375,2459,1.81113,1.81113,0.332031,2459,1.85895,1.85895,0.300781
2559,1.74698,1.74698,0.330729,2559,1.80739,1.80739,0.309896,2559,1.86613,1.86613,0.270833,2559,1.73313,1.73313,0.354167,2559,1.78645,1.78645,0.330729,2559,1.76353,1.76353,0.307292
2659,1.92398,1.92398,0.318359,2659,1.97123,1.97123,0.308594,2659,1.93386,1.93386,0.279297,2659,1.96689,1.96689,0.341797,2659,2.00065,2.00065,0.324219,2659,1.82641,1.82641,0.326172
2752,1.76181,1.76181,0.3125,2752,1.73844,1.73844,0.328125,2752,1.83824,1.83824,0.289063,2752,1.77744,1.77744,0.351563,2752,1.76093,1.76093,0.320313,2752,1.76843,1.76843,0.296875
2852,1.70585,1.70585,0.367188,2852,1.74027,1.74027,0.371094,2852,1.7378,1.7378,0.332031,2852,1.71661,1.71661,0.402344,2852,1.68588,1.68588,0.371094,2852,1.76202,1.76202,0.347656
2952,1.65875,1.65875,0.364583,2952,1.68514,1.68514,0.354167,2952,1.70314,1.70314,0.338542,2952,1.59908,1.59908,0.398438,2952,1.64918,1.64918,0.367188,2952,1.64164,1.64164,0.346354
3052,1.72275,1.72275,0.367188,3052,1.78098,1.78098,0.357422,3052,1.93663,1.93663,0.337891,3052,1.7189,1.7189,0.394531,3052,1.8521,1.8521,0.353516,3052,1.81577,1.81577,0.353516
3145,1.69528,1.69528,0.367188,3145,1.60517,1.60517,0.398438,3145,1.676,1.676,0.375,3145,1.68498,1.68498,0.398438,3145,1.66398,1.66398,0.367188,3145,1.66426,1.66426,0.359375
3245,1.62907,1.62907,0.40625,3245,1.66094,1.66094,0.40625,3245,1.66994,1.66994,0.386719,3245,1.60684,1.60684,0.4375,3245,1.60675,1.60675,0.40625,3245,1.67623,1.67623,0.402344
3345,1.57858,1.57858,0.40625,3345,1.58171,1.58171,0.395833,3345,1.59688,1.59688,0.390625,3345,1.50384,1.50384,0.440104,3345,1.54172,1.54172,0.403646,3345,1.53649,1.53649,0.414063
3445,1.74495,1.74495,0.396484,3445,1.72954,1.72954,0.396484,3445,1.91524,1.91524,0.378906,3445,1.65177,1.65177,0.433594,3445,1.63294,1.63294,0.402344,3445,1.89489,1.89489,0.390625
3538,1.57969,1.57969,0.414063,3538,1.51811,1.51811,0.453125,3538,1.56198,1.56198,0.4375,3538,1.62392,1.62392,0.453125,3538,1.58641,1.58641,0.390625,3538,1.55739,1.55739,0.414063
3638,1.56644,1.56644,0.449219,3638,1.57008,1.57008,0.460938,3638,1.59067,1.59067,0.449219,3638,1.54414,1.54414,0.46875,3638,1.52934,1.52934,0.429688,3638,1.56602,1.56602,0.433594
3738,1.47995,1.47995,0.4375,3738,1.50039,1.50039,0.442708,3738,1.53771,1.53771,0.453125,3738,1.4335,1.4335,0.481771,3738,1.46878,1.46878,0.440104,3738,1.45762,1.45762,0.450521
3838,1.60863,1.60863,0.4375,3838,1.69899,1.69899,0.425781,3838,1.7325,1.7325,0.439453,3838,1.61688,1.61688,0.462891,3838,1.57244,1.57244,0.443359,3838,1.62543,1.62543,0.443359
3931,1.38024,1.38024,0.5,3931,1.33685,1.33685,0.53125,3931,1.39522,1.39522,0.484375,3931,1.4039,1.4039,0.507813,3931,1.39146,1.39146,0.515625,3931,1.43224,1.43224,0.5
4031,1.48938,1.48938,0.5,4031,1.48302,1.48302,0.511719,4031,1.50689,1.50689,0.492188,4031,1.47493,1.47493,0.53125,4031,1.45983,1.45983,0.519531,4031,1.4893,1.4893,0.492188
4131,1.44468,1.44468,0.505208,4131,1.43407,1.43407,0.507813,4131,1.48036,1.48036,0.481771,4131,1.37684,1.37684,0.533854,4131,1.40597,1.40597,0.510417,4131,1.40825,1.40825,0.505208
4231,1.53366,1.53366,0.5,4231,1.55658,1.55658,0.496094,4231,1.52957,1.52957,0.474609,4231,1.52011,1.52011,0.517578,4231,1.49943,1.49943,0.501953,4231,1.49663,1.49663,0.498047
4324,1.33486,1.33486,0.492188,4324,1.29401,1.29401,0.539063,4324,1.34226,1.34226,0.476563,4324,1.36231,1.36231,0.507813,4324,1.34915,1.34915,0.539063,4324,1.38493,1.38493,0.492188
4424,1.47719,1.47719,0.488281,4424,1.46758,1.46758,0.523438,4424,1.4875,1.4875,0.484375,4424,1.46591,1.46591,0.535156,4424,1.43668,1.43668,0.523438,4424,1.4709,1.4709,0.5
4524,1.42066,1.42066,0.5,4524,1.41464,1.41464,0.510417,4524,1.46872,1.46872,0.481771,4524,1.36024,1.36024,0.539063,4524,1.38889,1.38889,0.520833,4524,1.39107,1.39107,0.494792
4624,1.52489,1.52489,0.496094,4624,1.54706,1.54706,0.503906,4624,1.5099,1.5099,0.474609,4624,1.51057,1.51057,0.523438,4624,1.48906,1.48906,0.511719,4624,1.48236,1.48236,0.494141
4717,1.321,1.321,0.492188,4717,1.28075,1.28075,0.539063,4717,1.3273,1.3273,0.476563,4717,1.35165,1.35165,0.507813,4717,1.33785,1.33785,0.53125,4717,1.37347,1.37347,0.507813
4817,1.4677,1.4677,0.488281,4817,1.45562,1.45562,0.523438,4817,1.47424,1.47424,0.492188,4817,1.45529,1.45529,0.535156,4817,1.42581,1.42581,0.519531,4817,1.45837,1.45837,0.507813
4917,1.40274,1.40274,0.507813,4917,1.40298,1.40298,0.515625,4917,1.46028,1.46028,0.486979,4917,1.34838,1.34838,0.536458,4917,1.37669,1.37669,0.515625,4917,1.38011,1.38011,0.502604
5017,1.51566,1.51566,0.503906,5017,1.53719,1.53719,0.505859,5017,1.49824,1.49824,0.482422,5017,1.50192,1.50192,0.521484,5017,1.4798,1.4798,0.509766,5017,1.4712,1.4712,0.501953
5110,1.31093,1.31093,0.484375,5110,1.26989,1.26989,0.554688,5110,1.31591,1.31591,0.476563,5110,1.3418,1.3418,0.515625,5110,1.32938,1.32938,0.53125,5110,1.36333,1.36333,0.515625
5210,1.4604,1.4604,0.484375,5210,1.44488,1.44488,0.53125,5210,1.46285,1.46285,0.492188,5210,1.44772,1.44772,0.539063,5210,1.41718,1.41718,0.519531,5210,1.44672,1.44672,0.519531
5310,1.38901,1.38901,0.505208,5310,1.39067,1.39067,0.526042,5310,1.45226,1.45226,0.489583,5310,1.33785,1.33785,0.539063,5310,1.36534,1.36534,0.518229,5310,1.37053,1.37053,0.518229
5410,1.506,1.506,0.501953,5410,1.52706,1.52706,0.513672,5410,1.48783,1.48783,0.484375,5410,1.49401,1.49401,0.523438,5410,1.47192,1.47192,0.511719,5410,1.46058,1.46058,0.517578
5503,1.30137,1.30137,0.484375,5503,1.2616,1.2616,0.554688,5503,1.30554,1.30554,0.484375,5503,1.33314,1.33314,0.523438,5503,1.32016,1.32016,0.53125,5503,1.35242,1.35242,0.523438
5603,1.45228,1.45228,0.488281,5603,1.43466,1.43466,0.539063,5603,1.45322,1.45322,0.503906,5603,1.4392,1.4392,0.539063,5603,1.40769,1.40769,0.527344,5603,1.43525,1.43525,0.523438
5703,1.37562,1.37562,0.513021,5703,1.38095,1.38095,0.53125,5703,1.44472,1.44472,0.497396,5703,1.32852,1.32852,0.541667,5703,1.35336,1.35336,0.526042,5703,1.36089,1.36089,0.520833
5803,1.49533,1.49533,0.507813,5803,1.51846,1.51846,0.517578,5803,1.47701,1.47701,0.490234,5803,1.48581,1.48581,0.525391,5803,1.4629,1.4629,0.517578,5803,1.4509,1.4509,0.521484
