step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.85327,2.85327,0.0703125,1,2.86722,2.86722,0.078125,1,2.86593,2.86593,0.0859375,1,2.87067,2.87067,0.0546875,1,2.86228,2.86228,0.078125,1,2.84707,2.84707,0.078125,1,2.87156,2.87156,0.0859375,1,2.84225,2.84225,0.0859375
101,2.30699,2.30699,0.0703125,101,2.30398,2.30398,0.0820313,101,2.30271,2.30271,0.078125,101,2.30695,2.30695,0.0742188,101,2.30662,2.30662,0.078125,101,2.30921,2.30921,0.0703125,101,2.30962,2.30962,0.078125,101,2.3076,2.3076,0.078125
201,2.3053,2.3053,0.0677083,201,2.30495,2.30495,0.0755208,201,2.30463,2.30463,0.0703125,201,2.30558,2.30558,0.0703125,201,2.30403,2.30403,0.0703125,201,2.30442,2.30442,0.0677083,201,2.30544,2.30544,0.0755208,201,2.30575,2.30575,0.0703125
301,2.30442,2.30442,0.0742188,301,2.3067,2.3067,0.0761719,301,2.30523,2.30523,0.0722656,301,2.30472,2.30472,0.0742188,301,2.30802,2.30802,0.0761719,301,2.30142,2.30142,0.0703125,301,2.30347,2.30347,0.078125,301,2.30613,2.30613,0.0722656
394,2.30435,2.30435,0.0859375,394,2.30546,2.30546,0.078125,394,2.3043,2.3043,0.0859375,394,2.30334,2.30334,0.0859375,394,2.30566,2.30566,0.078125,394,2.30619,2.30619,0.078125,394,2.30461,2.30461,0.09375,394,2.30515,2.30515,0.078125
494,2.30336,2.30336,0.0820313,494,2.30675,2.30675,0.0703125,494,2.30304,2.30304,0.0820313,494,2.30198,2.30198,0.0859375,494,2.30174,2.30174,0.0742188,494,2.30486,2.30486,0.078125,494,2.30682,2.30682,0.078125,494,2.30263,2.30263,0.078125
594,2.30481,2.30481,0.078125,594,2.30466,2.30466,0.0677083,594,2.30365,2.30365,0.078125,594,2.30819,2.30819,0.0807292,594,2.30332,2.30332,0.0703125,594,2.30385,2.30385,0.0755208,594,2.30576,2.30576,0.0807292,594,2.3039,2.3039,0.0729167
694,2.30458,2.30458,0.0839844,694,2.30526,2.30526,0.0722656,694,2.30457,2.30457,0.0800781,694,2.30947,2.30947,0.0820313,694,2.30744,2.30744,0.078125,694,2.29945,2.29945,0.078125,694,2.3054,2.3054,0.0839844,694,2.30571,2.30571,0.0800781
787,2.30752,2.30752,0.078125,787,2.30503,2.30503,0.078125,787,2.30468,2.30468,0.0859375,787,2.30218,2.30218,0.09375,787,2.30586,2.30586,0.078125,787,2.30588,2.30588,0.078125,787,2.30175,2.30175,0.09375,787,2.30475,2.30475,0.078125
887,2.30709,2.30709,0.0820313,887,2.30647,2.30647,0.0703125,887,2.30449,2.30449,0.0820313,887,2.3044,2.3044,0.0898438,887,2.30021,2.30021,0.0742188,887,2.30212,2.30212,0.078125,887,2.3105,2.3105,0.0859375,887,2.30262,2.30262,0.0820313
987,2.30219,2.30219,0.0729167,987,2.3045,2.3045,0.0729167,987,2.30642,2.30642,0.078125,987,2.31111,2.31111,0.0989583,987,2.30629,2.30629,0.078125,987,2.30566,2.30566,0.0755208,987,2.29977,2.29977,0.09375,987,2.30615,2.30615,0.0755208
1087,2.30571,2.30571,0.0800781,1087,2.30507,2.30507,0.0742188,1087,2.30972,2.30972,0.0839844,1087,2.30072,2.30072,0.103516,1087,2.30793,2.30793,0.0820313,1087,2.3006,2.3006,0.078125,1087,2.29566,2.29566,0.103516,1087,2.30702,2.30702,0.0820313
1180,2.31614,2.31614,0.0703125,1180,2.30588,2.30588,0.078125,1180,2.30923,2.30923,0.09375,1180,2.29245,2.29245,0.132813,1180,2.30332,2.30332,0.0859375,1180,2.30672,2.30672,0.078125,1180,2.27956,2.27956,0.125,1180,2.30224,2.30224,0.078125
1280,2.29133,2.29133,0.09375,1280,2.30697,2.30697,0.0742188,1280,2.31993,2.31993,0.078125,1280,2.29009,2.29009,0.140625,1280,2.3029,2.3029,0.0859375,1280,2.30015,2.30015,0.078125,1280,2.30896,2.30896,0.125,1280,2.30043,2.30043,0.0820313
1380,2.26039,2.26039,0.09375,1380,2.30299,2.30299,0.078125,1380,2.28348,2.28348,0.0807292,1380,2.2783,2.2783,0.148438,1380,2.3006,2.3006,0.0911458,1380,2.30449,2.30449,0.0833333,1380,2.28665,2.28665,0.130208,1380,2.30797,2.30797,0.0859375
1480,2.27299,2.27299,0.0976563,1480,2.30918,2.30918,0.0820313,1480,2.29073,2.29073,0.0878906,1480,2.23856,2.23856,0.148438,1480,2.30949,2.30949,0.09375,1480,2.30166,2.30166,0.0839844,1480,2.24496,2.24496,0.132813,1480,2.31195,2.31195,0.0898438
1573,2.25092,2.25092,0.148438,1573,2.30279,2.30279,0.0859375,1573,2.27699,2.27699,0.148438,1573,2.19387,2.19387,0.1875,1573,2.29356,2.29356,0.117188,1573,2.3015,2.3015,0.101563,1573,2.23146,2.23146,0.171875,1573,2.29994,2.29994,0.101563
1673,2.20901,2.20901,0.15625,1673,2.30937,2.30937,0.09375,1673,2.26012,2.26012,0.136719,1673,2.12165,2.12165,0.203125,1673,2.2823,2.2823,0.128906,1673,2.30878,2.30878,0.109375,1673,2.17078,2.17078,0.1875,1673,2.29675,2.29675,0.09375
1773,2.2086,2.2086,0.169271,1773,2.29704,2.29704,0.0963542,1773,2.25889,2.25889,0.140625,1773,2.19199,2.19199,0.210938,1773,2.29502,2.29502,0.114583,1773,2.2928,2.2928,0.106771,1773,2.23749,2.23749,0.182292,1773,2.29129,2.29129,0.101563
1873,2.20163,2.20163,0.169922,1873,2.28874,2.28874,0.109375,1873,2.25434,2.25434,0.142578,1873,2.07892,2.07892,0.220703,1873,2.27306,2.27306,0.126953,1873,2.2786,2.2786,0.115234,1873,2.15765,2.15765,0.183594,1873,2.28655,2.28655,0.115234
1966,2.07758,2.07758,0.210938,1966,2.28821,2.28821,0.109375,1966,2.13994,2.13994,0.203125,1966,1.97617,1.97617,0.226563,1966,2.2649,2.2649,0.15625,1966,2.29406,2.29406,0.117188,1966,2.07242,2.07242,0.21875,1966,2.29326,2.29326,0.125
2066,2.02666,2.02666,0.238281,2066,2.29358,2.29358,0.117188,2066,2.09175,2.09175,0.230469,2066,1.9445,1.9445,0.265625,2066,2.22231,2.22231,0.167969,2066,2.27635,2.27635,0.148438,2066,1.99081,1.99081,0.25,2066,2.28561,2.28561,0.128906
