step, cross_entropy, loss, train_accuracy
1,2.85327,2.85327,0.0703125
101,2.30699,2.30699,0.0703125
201,2.3053,2.3053,0.0677083
301,2.30442,2.30442,0.0742188
394,2.30435,2.30435,0.0859375
494,2.30336,2.30336,0.0820313
594,2.30481,2.30481,0.078125
694,2.30458,2.30458,0.0839844
787,2.30752,2.30752,0.078125
887,2.30709,2.30709,0.0820313
987,2.30219,2.30219,0.0729167
1087,2.30571,2.30571,0.0800781
1180,2.31614,2.31614,0.0703125
1280,2.29133,2.29133,0.09375
1380,2.26039,2.26039,0.09375
1480,2.27299,2.27299,0.0976563
1573,2.25092,2.25092,0.148438
1673,2.20901,2.20901,0.15625
1773,2.2086,2.2086,0.169271
1873,2.20163,2.20163,0.169922
1966,2.07758,2.07758,0.210938
2066,2.02666,2.02666,0.238281
2166,1.97798,1.97798,0.242188
2266,1.96377,1.96377,0.244141
2359,1.85969,1.85969,0.28125
2459,1.85895,1.85895,0.300781
2559,1.76353,1.76353,0.307292
2659,1.82641,1.82641,0.326172
2752,1.76843,1.76843,0.296875
2852,1.76202,1.76202,0.347656
2952,1.64164,1.64164,0.346354
3052,1.81577,1.81577,0.353516
3145,1.66426,1.66426,0.359375
3245,1.67623,1.67623,0.402344
3345,1.53649,1.53649,0.414063
3445,1.89489,1.89489,0.390625
3538,1.55739,1.55739,0.414063
3638,1.56602,1.56602,0.433594
3738,1.45762,1.45762,0.450521
3838,1.62543,1.62543,0.443359
3931,1.43224,1.43224,0.5
4031,1.4893,1.4893,0.492188
4131,1.40825,1.40825,0.505208
4231,1.49663,1.49663,0.498047
4324,1.38493,1.38493,0.492188
4424,1.4709,1.4709,0.5
4524,1.39107,1.39107,0.494792
4624,1.48236,1.48236,0.494141
4717,1.37347,1.37347,0.507813
4817,1.45837,1.45837,0.507813
4917,1.38011,1.38011,0.502604
5017,1.4712,1.4712,0.501953
5110,1.36333,1.36333,0.515625
5210,1.44672,1.44672,0.519531
5310,1.37053,1.37053,0.518229
5410,1.46058,1.46058,0.517578
5503,1.35242,1.35242,0.523438
5603,1.43525,1.43525,0.523438
5703,1.36089,1.36089,0.520833
5803,1.4509,1.4509,0.521484
