step, cross_entropy, loss, train_accuracy
1,2.84707,2.84707,0.078125
101,2.30921,2.30921,0.0703125
201,2.30442,2.30442,0.0677083
301,2.30142,2.30142,0.0703125
394,2.30619,2.30619,0.078125
494,2.30486,2.30486,0.078125
594,2.30385,2.30385,0.0755208
694,2.29945,2.29945,0.078125
787,2.30588,2.30588,0.078125
887,2.30212,2.30212,0.078125
987,2.30566,2.30566,0.0755208
1087,2.3006,2.3006,0.078125
1180,2.30672,2.30672,0.078125
1280,2.30015,2.30015,0.078125
1380,2.30449,2.30449,0.0833333
1480,2.30166,2.30166,0.0839844
1573,2.3015,2.3015,0.101563
1673,2.30878,2.30878,0.109375
1773,2.2928,2.2928,0.106771
1873,2.2786,2.2786,0.115234
1966,2.29406,2.29406,0.117188
2066,2.27635,2.27635,0.148438
2166,2.26535,2.26535,0.145833
2266,2.22969,2.22969,0.15625
2359,2.24369,2.24369,0.15625
2459,2.17385,2.17385,0.171875
2559,2.22975,2.22975,0.171875
2659,2.18202,2.18202,0.171875
2752,2.2091,2.2091,0.171875
2852,2.07662,2.07662,0.234375
2952,2.18359,2.18359,0.21875
3052,2.05001,2.05001,0.214844
3145,2.06484,2.06484,0.171875
3245,1.88037,1.88037,0.277344
3345,1.9943,1.9943,0.265625
3445,1.87943,1.87943,0.271484
3538,1.97452,1.97452,0.21875
3638,1.80214,1.80214,0.296875
3738,1.85918,1.85918,0.294271
3838,1.82331,1.82331,0.294922
3931,1.83497,1.83497,0.28125
4031,1.6892,1.6892,0.347656
4131,1.75281,1.75281,0.34375
4231,1.70554,1.70554,0.359375
4324,1.72245,1.72245,0.34375
4424,1.66872,1.66872,0.382813
4524,1.73499,1.73499,0.372396
4624,1.69019,1.69019,0.380859
4717,1.70851,1.70851,0.351563
4817,1.65507,1.65507,0.386719
4917,1.72052,1.72052,0.377604
5017,1.67775,1.67775,0.382813
5110,1.69645,1.69645,0.367188
5210,1.64223,1.64223,0.398438
5310,1.70542,1.70542,0.388021
5410,1.66643,1.66643,0.392578
5503,1.6866,1.6866,0.382813
5603,1.6301,1.6301,0.402344
5703,1.69139,1.69139,0.393229
5803,1.65638,1.65638,0.396484
