step, cross_entropy, loss, train_accuracy
1,2.87156,2.87156,0.0859375
101,2.30962,2.30962,0.078125
201,2.30544,2.30544,0.0755208
301,2.30347,2.30347,0.078125
394,2.30461,2.30461,0.09375
494,2.30682,2.30682,0.078125
594,2.30576,2.30576,0.0807292
694,2.3054,2.3054,0.0839844
787,2.30175,2.30175,0.09375
887,2.3105,2.3105,0.0859375
987,2.29977,2.29977,0.09375
1087,2.29566,2.29566,0.103516
1180,2.27956,2.27956,0.125
1280,2.30896,2.30896,0.125
1380,2.28665,2.28665,0.130208
1480,2.24496,2.24496,0.132813
1573,2.23146,2.23146,0.171875
1673,2.17078,2.17078,0.1875
1773,2.23749,2.23749,0.182292
1873,2.15765,2.15765,0.183594
1966,2.07242,2.07242,0.21875
2066,1.99081,1.99081,0.25
2166,2.08975,2.08975,0.247396
2266,1.98542,1.98542,0.259766
2359,1.85867,1.85867,0.289063
2459,1.79332,1.79332,0.332031
2559,1.90118,1.90118,0.3125
2659,1.91319,1.91319,0.308594
2752,1.77845,1.77845,0.34375
2852,1.68502,1.68502,0.382813
2952,1.78623,1.78623,0.361979
3052,1.82171,1.82171,0.351563
3145,1.75225,1.75225,0.328125
3245,1.60176,1.60176,0.371094
3345,1.70752,1.70752,0.364583
3445,1.81017,1.81017,0.359375
3538,1.59361,1.59361,0.40625
3638,1.53697,1.53697,0.433594
3738,1.62914,1.62914,0.419271
3838,1.76392,1.76392,0.402344
3931,1.39213,1.39213,0.460938
4031,1.46405,1.46405,0.476563
4131,1.51003,1.51003,0.458333
4231,1.54306,1.54306,0.464844
4324,1.33864,1.33864,0.476563
4424,1.44581,1.44581,0.492188
4524,1.497,1.497,0.473958
4624,1.53791,1.53791,0.478516
4717,1.32396,1.32396,0.476563
4817,1.43552,1.43552,0.492188
4917,1.48636,1.48636,0.473958
5017,1.53105,1.53105,0.476563
5110,1.3122,1.3122,0.476563
5210,1.42636,1.42636,0.492188
5310,1.47429,1.47429,0.484375
5410,1.52226,1.52226,0.482422
5503,1.30048,1.30048,0.476563
5603,1.41834,1.41834,0.492188
5703,1.46501,1.46501,0.489583
5803,1.51361,1.51361,0.488281
