step, cross_entropy, loss, train_accuracy
1,2.84225,2.84225,0.0859375
101,2.3076,2.3076,0.078125
201,2.30575,2.30575,0.0703125
301,2.30613,2.30613,0.0722656
394,2.30515,2.30515,0.078125
494,2.30263,2.30263,0.078125
594,2.3039,2.3039,0.0729167
694,2.30571,2.30571,0.0800781
787,2.30475,2.30475,0.078125
887,2.30262,2.30262,0.0820313
987,2.30615,2.30615,0.0755208
1087,2.30702,2.30702,0.0820313
1180,2.30224,2.30224,0.078125
1280,2.30043,2.30043,0.0820313
1380,2.30797,2.30797,0.0859375
1480,2.31195,2.31195,0.0898438
1573,2.29994,2.29994,0.101563
1673,2.29675,2.29675,0.09375
1773,2.29129,2.29129,0.101563
1873,2.28655,2.28655,0.115234
1966,2.29326,2.29326,0.125
2066,2.28561,2.28561,0.128906
2166,2.29027,2.29027,0.122396
2266,2.25914,2.25914,0.140625
2359,2.26091,2.26091,0.164063
2459,2.2214,2.2214,0.167969
2559,2.26282,2.26282,0.171875
2659,2.21056,2.21056,0.185547
2752,2.1886,2.1886,0.195313
2852,2.15045,2.15045,0.199219
2952,2.16886,2.16886,0.192708
3052,2.067,2.067,0.201172
3145,1.97975,1.97975,0.242188
3245,1.96832,1.96832,0.265625
3345,1.97757,1.97757,0.257813
3445,1.93446,1.93446,0.263672
3538,1.87409,1.87409,0.328125
3638,1.86378,1.86378,0.332031
3738,1.84866,1.84866,0.322917
3838,1.82251,1.82251,0.328125
3931,1.73005,1.73005,0.351563
4031,1.76591,1.76591,0.355469
4131,1.76229,1.76229,0.354167
4231,1.76545,1.76545,0.349609
4324,1.64866,1.64866,0.40625
4424,1.74877,1.74877,0.375
4524,1.74662,1.74662,0.361979
4624,1.7531,1.7531,0.355469
4717,1.63083,1.63083,0.40625
4817,1.73598,1.73598,0.375
4917,1.73322,1.73322,0.369792
5017,1.74114,1.74114,0.363281
5110,1.61462,1.61462,0.414063
5210,1.72492,1.72492,0.378906
5310,1.72089,1.72089,0.375
5410,1.7307,1.7307,0.367188
5503,1.60026,1.60026,0.421875
5603,1.71322,1.71322,0.394531
5703,1.71048,1.71048,0.393229
5803,1.72051,1.72051,0.380859
